Code,Name,City,Country
01V,Aurora County,Aurora,UNITED STATES
06A,"Tuskegee Municipal, Moton Field",Tuskegee,UNITED STATES
06D,Rolla Municipal,Rolla,UNITED STATES
0A6,Gastonia Municipal,Gastonia,UNITED STATES
0A7,Hendersonville,Hendersonville,UNITED STATES
10G,Holmes County,Millersburg,UNITED STATES
19N,Camden County,Berlin,UNITED STATES
1A9,Autauga County,Prattville,UNITED STATES
1C5,Clow International,Bolingbrook,UNITED STATES
1F0,Ardmore Downtown,Ardmore,UNITED STATES
1F9,Bridgeport,Bridgeport,UNITED STATES
1G5,Freedom Field,Medina,UNITED STATES
1N9,Allentown-Queen City,Allentown-Queen City,UNITED STATES
1O2,Lampson Field,Lakeport,UNITED STATES
1V5,Boulder Municipal Airport,Boulder,UNITED STATES
20N,Kingston-Ulster,Kingston,UNITED STATES
20U,Beach,Beach,UNITED STATES
21A,Shelby County Airport,Alabaster,UNITED STATES
22G,Lorain County Regional,Elyria,UNITED STATES
29D,Grove City,Grove City,UNITED STATES
2DT,Downtown Airpark,Oklahoma City,UNITED STATES
2EJ,Oklahoma City,Oklahoma City,UNITED STATES
2F9,Tom Danaher's Airport,Wichita Falls,UNITED STATES
2G5,Grosse Ile Municipal,Detroit,UNITED STATES
2G9,Somerset County Joseph W. Martin Field,Somerset,UNITED STATES
2I0,Central City,Madisonville,UNITED STATES
2I8,Newark-Heath,Newark,UNITED STATES
2K3,Stanton County Municipal Airport,Johnson City,UNITED STATES
3F3,DeSoto Parish,Mansfield,UNITED STATES
3F9,Mineola-Wisener Field,Mineola,UNITED STATES
3G3,Wadsworth Municipal Airport,Wadsworth,UNITED STATES
3KM,Wichita,Wichita/,UNITED STATES
3O7,Hollister,Hollister,UNITED STATES
3R9,Austin Lakeway Airpark TX,Austin,UNITED STATES
3RS,New Braunfels Municipal,New Braunfels,UNITED STATES
3S4,Illinois Valley,Cave Junction,UNITED STATES
3S8,Josephine County,Grants Pass,UNITED STATES
3V4,Fort Morgan,Fort Morgan,UNITED STATES
40N,Chester County/G O Carlson Airport,Coatesville,UNITED STATES
47N,"Central Jersey Regional, Kupper",Manville,UNITED STATES
4G6,Hornell,Hornell,UNITED STATES
4R4,Point Clear,Fairhope Point Clear,UNITED STATES
4SD,Reno-Stead,Reno,UNITED STATES
4V8,Mount Snow,West Dover,UNITED STATES
50J,Berkeley County Airport,Moncks Corner,UNITED STATES
5B2,Saratoga County,Saratoga County,UNITED STATES
5BO,Windham,Willimantic,UNITED STATES
5C0,Kit Carson County,Burlington,UNITED STATES
5D3,Owosso Community,Owosso,UNITED STATES
5G7,Bluffton,Bluffton,UNITED STATES
5G9,Toledo Suburban Airport,Lambertville,UNITED STATES
60S,Pearson Field,Vancouver,UNITED STATES
63F,Stanton Municipal,Stanton,UNITED STATES
66Y,Bay St Louis/Stennis International,Diamondhead,UNITED STATES
68J,Tallahassee Commercial,Tallahassee,UNITED STATES
6I2,Lebanon-Springfield,Springfield,UNITED STATES
6M5,Hancock Airfield,Hawesville,UNITED STATES
6M6,Morrilton Municipal,Morrilton,UNITED STATES
6RO,Slidell,Slidell,UNITED STATES
6S0,Big Timber,Big Timber,UNITED STATES
74D,Marshall County,Moundsville,UNITED STATES
7K4,Ohio County,Hartford,UNITED STATES
7V1,Central Colorado Regional,Buena Vista,UNITED STATES
81J,Fort Walton Beach,Destin,UNITED STATES
8D4,The Sparta Airport,Sparta,UNITED STATES
95D,Beulah,Beulah,UNITED STATES
AAA,Anaa,Anaa,FRENCH POLYNESIA
AAB,Arrabury,Arrabury,AUSTRALIA
AAC,Al Arish,Al Arish,EGYPT
AAD,Ad-Dabbah,Ad-Dabbah,SUDAN
AAE,Les Salines,Annaba,ALGERIA
AAG,Arapoti,Arapoti,BRAZIL
AAH,Aachen/Merzbruck,Aachen,GERMANY
AAI,Arraias,Arraias,BRAZIL
AAL,Aalborg,Aalborg,DENMARK
AAM,Mala Mala,Mala Mala,SOUTH AFRICA
AAN,Al-Ain International,Al-Ain International,UNITED ARAB EMIRATES
AAO,Anaco,Anaco,VENEZUELA
AAP,Andrau Airpark,Houston,UNITED STATES
AAQ,Anapa,Anapa,RUSSIAN FEDERATION
AAR,Tirstrup,Aarhus,DENMARK
AAS,Apalapsili,Apalapsili,DENMARK
AAT,Altay,Altay,CHINA
AAV,Alah,Alah,PHILIPPINES
AAW,Abbottabad,Abbottabad,PAKISTAN
AAX,Araxa,Araxa,BRAZIL
AAY,Al Ghaida,Al Ghaydah,YEMEN
AAZ,Quetzaltenango Airport,Quetzaltenango,GUATEMALA
ABA,Abakan,Abakan,RUSSIAN FEDERATION
ABB,RAF Station,Abingdon,UNITED KINGDOM
ABD,Abadan,Abadan,IRAN (ISLAMIC REPUBLIC OF)
ABE,Lehigh Valley International,Allentown,UNITED STATES
ABF,Abingdon,Abingdon,KIRIBATI
ABH,Alpha,Alpha,AUSTRALIA
ABI,Abilene Municipal,Abilene,UNITED STATES
ABJ,Felix Houphouet Boigny,Abidjan,COTE D'IVOIRE
ABK,Kabri Dar,Kabri Dar,ETHIOPIA
ABL,Ambler,Ambler,UNITED STATES
ABM,Bamaga,Bamaga,AUSTRALIA
ABO,Aboisso,Aboisso,COTE D'IVOIRE
ABP,Atkamba,Atkamba,PAPUA NEW GUINEA
ABQ,Albuquerque International Airport,Albuquerque,UNITED STATES
ABR,Aberdeen Municipal,Aberdeen,UNITED STATES
ABS,Abu Simbel,Abu Simbel,EGYPT
ABT,Al-Aqiq,Al-Baha,SAUDI ARABIA
ABU,Atambua,Atambua,INDONESIA
ABV,Abuja International,Abuja,NIGERIA
ABW,Abau,Abau,PAPUA NEW GUINEA
ABX,Albury,Albury,AUSTRALIA
ABY,Albany Metropolitan Area,Albany,UNITED STATES
ABZ,Dyce,Aberdeen,UNITED KINGDOM
ACA,Alvarez International,Acapulco,MEXICO
ACB,Antrim County Airport,Antrim,UNITED STATES
ACC,Kotoka,Accra,GHANA
ACD,Acandi,Acandi,COLOMBIA
ACE,Lanzarote,Lanzarote,SPAIN
ACF,Archerfield (Brisbane),Archerfield (Brisbane),AUSTRALIA
ACH,Altenrhein,Altenrhein,SWITZERLAND
ACI,The Blaye,Alderney,UNITED KINGDOM
ACK,Arica,Nantucket,UNITED STATES
ACL,Aguaclara,Aguaclara,COLOMBIA
ACM,Arica,Arica,COLOMBIA
ACN,Ciudad Acuna International,Ciudad Acuna,MEXICO
ACO,Ascona,Ascona,SWITZERLAND
ACQ,Waseca Municipal Airport,Waseca,UNITED STATES
ACR,Araracuara,Araracuara,BRAZIL
ACS,Achinsk,Achinsk,RUSSIAN FEDERATION
ACT,Waco Regional Airport,Waco,UNITED STATES
ACU,Achutupo,Achutupo,PANAMA
ACV,Arcata,Arcata,UNITED STATES
ACY,Bader Field Atlantic City,Atlantic City,UNITED STATES
ADA,Adana,Adana,TURKEY
ADB,Adnan Menderes Arpt,Izmir,TURKEY
ADD,Bole,Addis Ababa,ETHIOPIA
ADE,Aden International,Aden,YEMEN
ADF,Adiyaman,Adiyaman,TURKEY
ADG,Lenawee County,Adrian,UNITED STATES
ADH,Aldan,Aldan,RUSSIAN FEDERATION
ADI,Arandis,Arandis,NAMIBIA
ADJ,Civil - Marka Airport,Amman,JORDAN
ADK,Adak Naval Air Station,Adak,UNITED STATES
ADL,Adelaide,Adelaide,AUSTRALIA
ADM,Ardmore Industrial Airpark,Ardmore,UNITED STATES
ADN,Andes,Andes,COLOMBIA
ADO,Andamooka,Andamooka,AUSTRALIA
ADP,Anuradhapura,Anuradhapura,SRI LANKA
ADQ,Kodiak Airport,Kodiak,UNITED STATES
ADR,Andrews,Andrews,UNITED STATES
ADS,Addison Airport,Dallas,UNITED STATES
ADT,Ada,Ada,UNITED STATES
ADU,Ardabil,Ardabil,IRAN (ISLAMIC REPUBLIC OF)
ADV,Andover,Andover,UNITED KINGDOM
ADW,Andrews AFB,Camp Springs,UNITED STATES
ADX,Leuchars,Leuchars,UNITED KINGDOM
ADY,Alldays,Alldays,SOUTH AFRICA
ADZ,San Andres Island,San Andres Island,COLOMBIA
AEA,Abemama Atoll,Abemama Atoll,KIRIBATI
AED,Aleneva,Aleneva,UNITED STATES
AEG,Aek Godang,Aek Godang,INDONESIA
AEH,Abecher,Abecher,CHAD
AEK,Aseki,Aseki,PAPUA NEW GUINEA
AEL,Albert Lea,Albert Lea,UNITED STATES
AEO,Aioun El Atrouss,Aioun El Atrouss,MAURITANIA
AEP,Arpt. Jorge Newbery,Buenos Aires,ARGENTINA
AER,Adler/Sochi,Adler/Sochi,RUSSIAN FEDERATION
AES,Vigra,Aalesund,NORWAY
AET,Allakaket,Allakaket,UNITED STATES
AEX,Alexandria Metropolitan Area,Alexandria,UNITED STATES
AEY,Akureyri,Akureyri,ICELAND
AFA,San Rafael,San Rafael,ARGENTINA
AFB,Waterkloof AFB,Waterkloof Afb,SOUTH AFRICA
AFD,Port Alfred,Port Alfred,SOUTH AFRICA
AFF,USAF Academy,Colorado Springs,UNITED STATES
AFI,Amalfi,Amalfi,COLOMBIA
AFL,Alta Floresta,Alta Floresta,BRAZIL
AFN,Jaffrey Airport-Silver Ranch,Jaffrey,UNITED STATES
AFO,Afton Municipal,Afton,UNITED STATES
AFR,Afore,Afore,PAPUA NEW GUINEA
AFW,Fort Worth Alliance,Fort Worth Alliance,UNITED STATES
AFY,Afyon,Afyon,TURKEY
AGA,Agadir Almassira,Agadir,MOROCCO
AGB,Muehlhausen,Augsburg,GERMANY
AGC,Allegheny County,Pittsburgh,UNITED STATES
AGD,Anggi,Anggi,DENMARK
AGE,Flugplatz,Wangerooge,GERMANY
AGF,La Garenne,Agen,FRANCE
AGG,Angoram,Angoram,PAPUA NEW GUINEA
AGH,Angelholm,Helsingborg,SWEDEN
AGJ,Aguni,Aguni,JAPAN
AGK,Kagua,Kagua,PAPUA NEW GUINEA
AGL,Wanigela,Wanigela,PAPUA NEW GUINEA
AGM,Tasiilaq,Tasiilaq,GREENLAND
AGN,Angoon,Angoon,UNITED STATES
AGO,Magnolia Municipal,Magnolia,UNITED STATES
AGP,Malaga,Malaga,SPAIN
AGQ,Agrinion,Agrinion,GREECE
AGR,Kheria,Agra,INDIA
AGS,Bush Field,Augusta,UNITED STATES
AGT,Alejo Garcia,Ciudad del Este,PARAGUAY
AGU,Aguascalientes,Aguascalientes,MEXICO
AGV,Acarigua,Acarigua,VENEZUELA
AGW,Agnew,Agnew,AUSTRALIA
AGX,Agatti Island,Agatti Island,INDIA
AGY,Argyle Downs,Argyle Downs,AUSTRALIA
AGZ,Aggeneys,Aggeneys,SOUTH AFRICA
AHA,Naha AFB,Okinawa,JAPAN
AHB,Abha,Abha,SAUDI ARABIA
AHC,Amedee AAF,Herlong,UNITED STATES
AHD,Downtown,Ardmore,UNITED STATES
AHE,Ahe Airport,Ahe,FRENCH POLYNESIA
AHF,Arapahoe Municipal,Arapahoe,UNITED STATES
AHG,Helsingborg,Helsingborg,SWEDEN
AHH,Aishalton,Amery,UNITED STATES
AHI,Amahai,Amahai,INDONESIA
AHL,Aishalton,Aishalton,GUYANA
AHN,Athens/Ben Epps Airport,Athens,UNITED STATES
AHO,Fertilia,Alghero,ITALY
AHS,Ahuas,Ahuas,HONDURAS
AHT,Amchitka,Amchitka,UNITED STATES
AHU,Charif Al Idrissi,Al Hoceima,MOROCCO
AHY,Ambatolahy,Ambatolahy,MADAGASCAR
AHZ,Alpe D Huez,Alpe D Huez,FRANCE
AIA,Alliance Municipal,Alliance,UNITED STATES
AIB,Anita Bay,Anita Bay,UNITED STATES
AIC,Airok,Airok,MARSHALL ISLANDS
AID,"Anderson Municipal Airport, Darlington Field",Anderson,UNITED STATES
AIE,Aiome,Aiome,PAPUA NEW GUINEA
AIF,Assis,Assis,BRAZIL
AIG,Yalinga,Yalinga,CENTRAL AFRICAN REPUBLIC
AII,Alisabieh,Alisabieh,DJIBOUTI
AIK,Aiken Municipal,Aiken,UNITED STATES
AIL,Ailigandi,Ailigandi,PANAMA
AIM,Ailuk Island,Ailuk Island,MARSHALL ISLANDS
AIN,Wainwright,Wainwright,UNITED STATES
AIO,Atlantic,Atlantic,UNITED STATES
AIR,Aripuana,Aripuana,BRAZIL
AIS,Arorae Island,Arorae Island,KIRIBATI
AIT,Aitutaki,Aitutaki,COOK ISLANDS
AIU,Atiu Island,Atiu Island,COOK ISLANDS
AIV,George Downer,Aliceville,UNITED STATES
AIW,Ai-Ais,Ai-Ais,NAMIBIA
AIY,Atlantic City Int'l Airport,Atlantic City,UNITED STATES
AIZ,Lee C Fine Memorial,Kaiser/Lake Ozark,UNITED STATES
AJA,Campo Dell Oro,Ajaccio,FRANCE
AJF,Jouf,Jouf,SAUDI ARABIA
AJI,Agri,Agri.,TURKEY
AJJ,Akjoujt,Akjoujt,MAURITANIA
AJL,Aizwal,Aizawl,INDIA
AJN,Ouani,Anjouan,COMOROS
AJO,Aljouf,Aljouf,SAUDI ARABIA
AJR,Arvidsjaur,Arvidsjaur,SWEDEN
AJS,Abreojos,Abreojos,MEXICO
AJU,Aracaju,Aracaju,BRAZIL
AJY,Agades,Agades,NIGER
AKA,Ankang,Ankang,CHINA
AKB,Atka,Atka,UNITED STATES
AKC,Fulton International,Akron/Canton,UNITED STATES
AKD,Akola,Akola,INDIA
AKE,Akieni,Akieni,GABON
AKF,Kufrah,Kufrah,LIBYAN ARAB JAMAHIRIYA
AKG,Anguganak,Anguganak,PAPUA NEW GUINEA
AKI,Akiak,Akiak,UNITED STATES
AKJ,Asahikawa,Asahikawa,JAPAN
AKK,Akhiok SPB,Akhiok,UNITED STATES
AKL,Auckland International,Auckland,NEW ZEALAND
AKM,Zakouma,Zakouma,CHAD
AKN,King Salmon,King Salmon,UNITED STATES
AKO,Akron Washington County Co,Akron,UNITED STATES
AKP,Anaktuvuk,Anaktuvuk,UNITED STATES
AKQ,Gunung Batin,Astraksetra,INDONESIA
AKR,Akure,Akure,NIGERIA
AKT,Akrotiri RAF,Akrotiri,CYPRUS
AKU,Aksu,Aksu,CHINA
AKV,Akulivik,Akulivik,CANADA
AKX,Aktyubinsk,Aktyubinsk,RUSSIAN FEDERATION
AKY,Civil,Sittwe,MYANMAR
ALA,Almaty,Almaty,KAZAKHSTAN
ALB,Albany,Albany,UNITED STATES
ALC,Alicante,Alicante,SPAIN
ALD,Alerta,Alerta,PERU
ALE,Alpine,Alpine,UNITED STATES
ALF,Alta,Alta,NORWAY
ALG,Houari Boumediene,Algiers,ALGERIA
ALH,Albany,Albany,AUSTRALIA
ALI,International,Alice,UNITED STATES
ALJ,Kortdoorn,Alexander Bay,SOUTH AFRICA
ALK,Asela,Asela,ETHIOPIA
ALL,Albenga,Albenga,ITALY
ALM,Alamogordo-White Sands Regional,Alamogordo,UNITED STATES
ALN,St Louis Regional Airport,Alton-St Louis,UNITED STATES
ALO,Waterloo,Waterloo,UNITED STATES
ALP,Nejrab,Aleppo,SYRIAN ARAB REPUBLIC
ALQ,Federal,Alegrete,BRAZIL
ALR,Alexandra,Alexandra,NEW ZEALAND
ALS,Alula,Alamosa,UNITED STATES
ALT,Alenquer,Alenquer,BRAZIL
ALU,Alula,Alula,SOMALIA
ALV,Andorra La Vella H/P,Andorra La Vella,ANDORRA
ALW,Walla Walla,Walla Walla,UNITED STATES
ALX,Thomas C Russell Fld,Alexander City,UNITED STATES
ALY,Alexandria,Alexandria,EGYPT
ALZ,Alitak Seaplane Base,Alitak,UNITED STATES
AMA,Amarillo International,Amarillo,UNITED STATES
AMB,Ambilobe,Ambilobe,MADAGASCAR
AMC,Am Timan,Am Timan,CHAD
AMD,Ahmedabad,Ahmedabad,INDIA
AME,Alto Molocue,Alto Molocue,MOZAMBIQUE
AMF,Ama,Ama,PAPUA NEW GUINEA
AMG,Bacon County,Alma,UNITED STATES
AMH,Arba Mintch,Arba Mintch,ETHIOPIA
AMI,Selaparang,Mataram,INDONESIA
AMJ,Almenara,Almenara,BRAZIL
AMK,Animas Airpark,Durango,UNITED STATES
AML,Puerto Armuellas,Puerto Armuellas,PANAMA
AMM,Queen Alia Intl,Amman,JORDAN
AMN,Gratiot Community,Alma,UNITED STATES
AMO,Mao,Mao,CHAD
AMP,Ampanihy,Ampanihy,MADAGASCAR
AMQ,Pattimura,Ambon,INDONESIA
AMS,Amsterdam-Schiphol,Amsterdam,NETHERLANDS
AMT,Amata,Amata,AUSTRALIA
AMU,Amanab,Amanab,INDONESIA
AMV,Amderma,Amderma,RUSSIAN FEDERATION
AMW,Ames,Ames,UNITED STATES
AMX,Ammaroo,Ammaroo,AUSTRALIA
AMY,Ambatomainty,Ambatomainty,MADAGASCAR
AMZ,Ardmore,Ardmore,NEW ZEALAND
ANA,Anaheim,Anaheim,UNITED STATES
ANB,Anniston Metro,Anniston,UNITED STATES
ANC,Anchorage International,Anchorage,UNITED STATES
AND,Anderson Regional Airport,Anderson,UNITED STATES
ANE,Marce,Angers,FRANCE
ANF,Cerro Moreno,Antofagasta,CHILE
ANG,Brie-Champniers,Angouleme,FRANCE
ANI,Aniak,Aniak,UNITED STATES
ANJ,Zanaga,Zanaga,CONGO
ANK,Etimesgut,Ankara,TURKEY
ANL,Andulo,Andulo,ANGOLA
ANM,Antsirabato,Antalaha,MADAGASCAR
ANN,Annette Island,Annette Island,UNITED STATES
ANO,Angoche,Angoche,MOZAMBIQUE
ANP,Lee,Annapolis,UNITED STATES
ANQ,Tri-State Steuben Cty,Angola,UNITED STATES
ANR,Deurne,Antwerp,BELGIUM
ANS,Andahuaylas,Andahuaylas,PERU
ANT,St Anton,St Anton,AUSTRIA
ANU,V.C. Bird Intl,Antigua,ANTIGUA AND BARBUDA
ANV,Anvik,Anvik,UNITED STATES
ANW,Ainsworth,Ainsworth,UNITED STATES
ANX,Andenes,Andenes,NORWAY
ANY,Anthony,Anthony,UNITED STATES
ANZ,Angus Downs,Angus Downs,AUSTRALIA
AOA,Aroa,Aroa,PAPUA NEW GUINEA
AOB,Annanberg,Annanberg,PAPUA NEW GUINEA
AOC,Altenburg Nobitz,Altenburg,GERMANY
AOD,Abou Deia,Abou Deia,CHAD
AOE,Anadolu University,Eskisehir,TURKEY
AOG,Anshan,Anshan,CHINA
AOH,Lima Allen County,Lima,UNITED STATES
AOI,Falconara,Ancona,ITALY
AOJ,Aomori,Aomori,JAPAN
AOK,Karpathos,Karpathos,GREECE
AOL,Paso De Los Libres,Paso De Los Libres,ARGENTINA
AON,Arona,Arona,PAPUA NEW GUINEA
AOO,Altoona,Martinsburg,UNITED STATES
AOR,Alor Setar,Alor Setar,MALAYSIA
AOS,Amook Bay Seaplane Base,Amook,UNITED STATES
AOT,Corrado Gex,Aosta,ITALY
AOU,Attopeu,Attopeu,LAO PEOPLE'S DEMOCRATIC REPUBLIC
APA,Arapahoe Municipal Airport,Denver,UNITED STATES
APB,Apolo,Apolo,BOLIVIA
APC,Napa County,Napa,UNITED STATES
APE,San Juan Aposento,San Juan Aposento,PERU
APF,Naples,Naples,UNITED STATES
APG,Phillips AAF,Aberdeen,UNITED STATES
APH,Camp A P Hill,Bowling Green,UNITED STATES
API,Apiay,Apiay,COLOMBIA
APK,Apataki,Apataki,FRENCH POLYNESIA
APL,Nampula,Nampula,MOZAMBIQUE
APN,Alpena County Regional,Alpena,UNITED STATES
APO,Apartado,Apartado,COLOMBIA
APP,Asapa,Asapa,PAPUA NEW GUINEA
APQ,Arapiraca,Arapiraca,BRAZIL
APR,April River,April River,PAPUA NEW GUINEA
APS,Anapolis,Anapolis,BRAZIL
APT,Marion County,Jasper,UNITED STATES
APU,Apucarana,Apucarana,BRAZIL
APV,Apple Valley,Apple Valley,UNITED STATES
APW,Apia,Apia,SAMOA
APX,Arapongas,Arapongas,BRAZIL
APY,Alto Parnaiba,Alto Parnaiba,BRAZIL
APZ,Zapala,Zapala,ARGENTINA
AQA,Araraquara,Araraquara,BRAZIL
AQB,Quiche Airport,Quiche,GUATEMALA
AQG,Anqing,Anqing,CHINA
AQI,Qaisumah,Qaisumah,SAUDI ARABIA
AQJ,Aqaba,Aqaba,JORDAN
AQM,Ariquemes,Ariquemes,BRAZIL
AQP,Rodriguez Ballon,Arequipa,PERU
AQS,Saqani,Saqani,FIJI
AQY,Alyeska,Alyeska,UNITED STATES
ARA,Acadiana Regional,New Iberia,UNITED STATES
ARB,Ann Arbor Municipal Airport,Ann Arbor,UNITED STATES
ARC,Arctic Village Airport,Arctic Village,UNITED STATES
ARD,Alor Island,Alor Island,INDONESIA
ARE,Arecibo,Arecibo,PUERTO RICO
ARF,Acaricuara,Acaricuara,COLOMBIA
ARG,Walnut Ridge,Walnut Ridge,UNITED STATES
ARH,Arkhangelsk,Arkhangelsk,RUSSIAN FEDERATION
ARI,Chacalluta,Arica,CHILE
ARJ,Arso,Arso,INDONESIA
ARK,Arusha,Arusha,"TANZANIA, UNITED REPUBLIC OF"
ARL,Arly,Arly,BURKINA FASO
ARM,Armidale,Armidale,AUSTRALIA
ARN,Arlanda,Stockholm,SWEDEN
ARO,Arboletas,Arboletas,COLOMBIA
ARP,Aragip,Aragip,PAPUA NEW GUINEA
ARQ,Arauquita,Arauquita,COLOMBIA
ARR,Alto Rio Senguerr,Alto Rio Senguerr,ARGENTINA
ARS,Aragarcas,Aragarcas,BRAZIL
ART,Watertown International Airport,Watertown,UNITED STATES
ARU,Aracatuba,Aracatuba,BRAZIL
ARV,Lakeland/Lee Memorial,Minocqua,UNITED STATES
ARW,Arad,Arad,ROMANIA
ARX,Asbury Park,Asbury Park,UNITED STATES
ARY,Ararat,Ararat,AUSTRALIA
ARZ,N'Zeto,N'Zeto,ANGOLA
ASA,Assab,Assab,ERITREA
ASB,Ashgabat,Ashgabat,TURKMENISTAN
ASC,Ascension,Ascension,BOLIVIA
ASD,Andros Town,Andros Town,BAHAMAS
ASE,Aspen,Aspen,UNITED STATES
ASF,Astrakhan,Astrakhan,RUSSIAN FEDERATION
ASG,Ashburton,Ashburton,NEW ZEALAND
ASH,Boire Field,Nashua,UNITED STATES
ASI,Wideawake Fld,Georgetown,UNITED STATES
ASJ,Amami O Shima,Amami O Shima,JAPAN
ASK,Yamoussoukro,Yamoussoukro,COTE D'IVOIRE
ASL,Harrison County,Marshall,UNITED STATES
ASM,Asmara International,Asmara,ERITREA
ASN,Talladega,Talladega,UNITED STATES
ASO,Asosa,Asosa,ETHIOPIA
ASP,Alice Springs,Alice Springs,AUSTRALIA
ASQ,Austin,Austin,UNITED STATES
ASR,Kayseri,Kayseri,TURKEY
AST,Astoria,Astoria,UNITED STATES
ASU,Silvio Pettirossi,Asuncion,PARAGUAY
ASV,Amboseli,Amboseli,KENYA
ASW,Aswan,Aswan,EGYPT
ASX,John F Kennedy Memorial,Ashland,UNITED STATES
ASY,Ashley,Ashley,UNITED STATES
ASZ,Asirim,Asirim,PAPUA NEW GUINEA
ATA,Anta,Anta,PERU
ATB,Atbara,Atbara,SUDAN
ATC,Athur's Town,Arthur's Town,BAHAMAS
ATE,Antlers,Antlers,UNITED STATES
ATF,Chachoan,Ambato,ECUADOR
ATG,Attock,Attock,GERMANY
ATH,Athinai,Athens,GREECE
ATI,Artigas,Artigas,URUGUAY
ATJ,Antsirabe,Antsirabe,MADAGASCAR
ATK,Atqasuk Burnell Memorial,Atqasuk,UNITED STATES
ATL,William B. Hartsfield International,Atlanta,UNITED STATES
ATM,Altamira,Altamira,BRAZIL
ATN,Namatanai,Namatanai,PAPUA NEW GUINEA
ATO,Ohio University,Athens,UNITED STATES
ATP,Aitape,Aitape,PAPUA NEW GUINEA
ATQ,Raja Sansi,Amritsar,INDIA
ATR,Mouakchott,Atar,MAURITANIA
ATS,Artesia,Artesia,UNITED STATES
ATT,Atmautluak Airport,Atmautluak,UNITED STATES
ATU,Casco Cove,Attu Island,UNITED STATES
ATV,Ati,Ati,CHAD
ATW,Outagamie County,Appleton,UNITED STATES
ATX,Atbasar,Atbasar,KAZAKHSTAN
ATY,Watertown,Watertown,UNITED STATES
ATZ,Assiut,Assiut,EGYPT
AUA,Reina Beatrix,Aruba,ARUBA
AUB,Itauba,Itauba,BRAZIL
AUC,Arauca,Arauca,COLOMBIA
AUD,Augustus Downs,Augustus Downs,AUSTRALIA
AUE,Abu Rudeis,Abu Rudeis,EGYPT
AUF,Auxerre Branches,Auxerre,FRANCE
AUG,Augusta,Augusta,UNITED STATES
AUH,Abu Dhabi Intl,Abu Dhabi,UNITED ARAB EMIRATES
AUI,Aua Island,Aua Island,PAPUA NEW GUINEA
AUJ,Ambunti,Ambunti,PAPUA NEW GUINEA
AUK,Alakanuk,Alakanuk,UNITED STATES
AUM,Austin,Austin,UNITED STATES
AUN,Auburn,Auburn,UNITED STATES
AUO,Auburn-Opelika Robert G Pitts,Auburn,UNITED STATES
AUP,Agaun,Agaun,PAPUA NEW GUINEA
AUQ,Atuona,Atuona,FRENCH POLYNESIA
AUR,Aurillac,Aurillac,FRANCE
AUS,Austin Bergstrom International,Austin,UNITED STATES
AUT,Atauro,Atauro,INDONESIA
AUU,Aurukun Mission,Aurukun Mission,AUSTRALIA
AUV,Aumo,Aumo,PAPUA NEW GUINEA
AUW,Wausau Downtown,Wausau,UNITED STATES
AUX,Araguaina,Araguaina,BRAZIL
AUY,Aneityum,Aneityum,VANUATU
AUZ,Aurora Municipal,Aurora,UNITED STATES
AVB,Aviano,Aviano,ITALY
AVC,Mecklenburg-Brunswick Regional Airport,South Hill,UNITED STATES
AVF,Avoriaz,Avoriaz,FRANCE
AVG,Auvergne,Auvergne,AUSTRALIA
AVI,Maximo Gomez,Ciego De Avila,CUBA
AVK,Arvaikheer,Arvaikheer,MONGOLIA
AVL,Hendersonville,Asheville,UNITED STATES
AVN,Avignon-Caum,Avignon,FRANCE
AVO,Avon Park,Avon Park,UNITED STATES
AVP,Wilkes-Barre-Scranton International,Wilkes-Barre,UNITED STATES
AVU,Avu Avu,Avu Avu,SOLOMON ISLANDS
AVV,Avalon,Avalon,AUSTRALIA
AVW,Avra Valley,Tucson,UNITED STATES
AVX,Avalon Bay,Catalina Island,UNITED STATES
AWA,Awassa,Awassa,ETHIOPIA
AWB,Awaba,Awaba,PAPUA NEW GUINEA
AWD,Aniwa,Aniwa,VANUATU
AWE,Alowe,Alowe,GABON
AWH,Awareh,Awareh,ETHIOPIA
AWM,West Memphis Municipal,West Memphis,UNITED STATES
AWN,Alton Downs,Alton Downs,AUSTRALIA
AWP,Austral Downs,Austral Downs,AUSTRALIA
AWR,Awar,Awar,PAPUA NEW GUINEA
AWZ,Ahwaz,Ahwaz,IRAN (ISLAMIC REPUBLIC OF)
AXA,118.5 Tower,The Valley/Wallblake,ANGUILLA
AXB,Alexandria Bay,Alexandria Bay,UNITED STATES
AXC,Aramac,Aramac,AUSTRALIA
AXD,Demokritos Airport,Alexandroupolis,GREECE
AXE,Xanxere,Xanxere,BRAZIL
AXG,Algona,Algona,UNITED STATES
AXK,Ataq,Ataq,YEMEN
AXL,Alexandria,Alexandria,AUSTRALIA
AXM,El Eden,Armenia,COLOMBIA
AXN,Chandler Field,Alexandria,UNITED STATES
AXP,Springpoint Arpt,Spring Point,BAHAMAS
AXR,Arutua,Arutua,FRENCH POLYNESIA
AXS,Altus Municipal Airport,Altus,UNITED STATES
AXT,Akita,Akita,JAPAN
AXU,Axum,Axum,ETHIOPIA
AXV,Neil Armstrong,Wapakoneta,UNITED STATES
AXX,Angel Fire,Angel Fire,UNITED STATES
AYA,Ayapel,Ayapel,COLOMBIA
AYC,Ayacucho,Ayacucho,COLOMBIA
AYD,Alroy Downs,Alroy Downs,AUSTRALIA
AYE,AAF Heliport,Fort Devens,UNITED STATES
AYG,Yaguara,Yaguara,COLOMBIA
AYH,RAF Station,Alconbury,UNITED KINGDOM
AYI,Yari,Yari,COLOMBIA
